Fecha,Value (TCM)
12/04/1967 00:00,2834928.3
13/04/1967 00:00,2822716.8
14/04/1967 00:00,2806681.4
15/04/1967 00:00,2783245.1
16/04/1967 00:00,2759932.2
17/04/1967 00:00,2731191.9
18/04/1967 00:00,2702698.3
19/04/1967 00:00,2684442.6
20/04/1967 00:00,2660883
21/04/1967 00:00,2635596.5
22/04/1967 00:00,2610556.6
23/04/1967 00:00,2587367
24/04/1967 00:00,2558256.7
25/04/1967 00:00,2531119.9
26/04/1967 00:00,2513727.7
27/04/1967 00:00,2498925.8
28/04/1967 00:00,2474009.4
29/04/1967 00:00,2450079.7
30/04/1967 00:00,2430590.5
01/05/1967 00:00,2412828.3
02/05/1967 00:00,2397779.7
03/05/1967 00:00,2382731.2
04/05/1967 00:00,2359418.2
05/05/1967 00:00,2339559
06/05/1967 00:00,2325620.6
07/05/1967 00:00,2312175.6
08/05/1967 00:00,2291329.6
09/05/1967 00:00,2267893.3
10/05/1967 00:00,2240509.9
11/05/1967 00:00,2210906.1
12/05/1967 00:00,2184756.1
13/05/1967 00:00,2161936.6
14/05/1967 00:00,2144667.7
15/05/1967 00:00,2135416.6
16/05/1967 00:00,2129865.9
17/05/1967 00:00,2126042.1
18/05/1967 00:00,2116667.5
19/05/1967 00:00,2107416.4
20/05/1967 00:00,2101989
21/05/1967 00:00,2099645.4
22/05/1967 00:00,2095081.5
23/05/1967 00:00,2089654.1
24/05/1967 00:00,2083486.7
25/05/1967 00:00,2078182.7
26/05/1967 00:00,2071275.1
27/05/1967 00:00,2065107.7
28/05/1967 00:00,2059063.6
29/05/1967 00:00,2053019.5
30/05/1967 00:00,2047592.1
31/05/1967 00:00,2043891.7
01/06/1967 00:00,2037724.2
02/06/1967 00:00,2052156
03/06/1967 00:00,2062147.3
04/06/1967 00:00,2070535
05/06/1967 00:00,2072755.3
06/06/1967 00:00,2067451.3
07/06/1967 00:00,2058323.5
08/06/1967 00:00,2050675.9
09/06/1967 00:00,2045371.9
10/06/1967 00:00,2040807.9
11/06/1967 00:00,2038587.7
12/06/1967 00:00,2032543.6
13/06/1967 00:00,2027239.6
14/06/1967 00:00,2018851.8
15/06/1967 00:00,2010587.5
16/06/1967 00:00,2003803.3
17/06/1967 00:00,1997142.4
18/06/1967 00:00,1990358.2
19/06/1967 00:00,1979996.9
20/06/1967 00:00,1968032.1
21/06/1967 00:00,1956930.7
22/06/1967 00:00,1947309.5
23/06/1967 00:00,1938551.7
24/06/1967 00:00,1931150.8
25/06/1967 00:00,1925353.4
26/06/1967 00:00,1918815.9
27/06/1967 00:00,1912278.4
28/06/1967 00:00,1904260.7
29/06/1967 00:00,1891309
30/06/1967 00:00,1882674.6
01/07/1967 00:00,1877617.3
02/07/1967 00:00,1884771.6
03/07/1967 00:00,1886251.7
04/07/1967 00:00,1884771.6
05/07/1967 00:00,1896983.1
06/07/1967 00:00,1899943.5
07/07/1967 00:00,1896366.4
08/07/1967 00:00,1891925.8
09/07/1967 00:00,1886251.7
10/07/1967 00:00,1884031.5
11/07/1967 00:00,1880454.3
12/07/1967 00:00,1879097.5
13/07/1967 00:00,1880454.3
14/07/1967 00:00,1878357.4
15/07/1967 00:00,1869723
16/07/1967 00:00,1868982.9
17/07/1967 00:00,1866145.9
18/07/1967 00:00,1864048.9
19/07/1967 00:00,1862568.8
20/07/1967 00:00,1861952
21/07/1967 00:00,1859731.7
22/07/1967 00:00,1856278
23/07/1967 00:00,1856278
24/07/1967 00:00,1879714.3
25/07/1967 00:00,1884771.6
26/07/1967 00:00,1886991.8
27/07/1967 00:00,1886251.7
28/07/1967 00:00,1884771.6
29/07/1967 00:00,1882674.6
30/07/1967 00:00,1876877.2
31/07/1967 00:00,1868366.1
01/08/1967 00:00,1861211.9
02/08/1967 00:00,1851220.6
03/08/1967 00:00,1839255.8
04/08/1967 00:00,1827291
05/08/1967 00:00,1812612.4
06/08/1967 00:00,1796700.4
07/08/1967 00:00,1778074.7
08/08/1967 00:00,1758215.6
09/08/1967 00:00,1740576.7
10/08/1967 00:00,1729105.2
11/08/1967 00:00,1729105.2
12/08/1967 00:00,1726514.9
13/08/1967 00:00,1721827.6
14/08/1967 00:00,1716400.3
15/08/1967 00:00,1735272.7
16/08/1967 00:00,1737246.2
